"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000368648 (pp) 9606.ENSP00000379836","false","pp","9606.ENSP00000368648 (pp) 9606.ENSP00000379836","0.33","0.114","0.0","0.782","0.0",,"0.0","0.997","0.983"
"pp","9606.ENSP00000368648 (pp) 9606.ENSP00000445829","false","pp","9606.ENSP00000368648 (pp) 9606.ENSP00000445829","0.0","0.0","0.0","0.092","0.0",,"0.054","0.769","0.753"
"pp","9606.ENSP00000368648 (pp) 9606.ENSP00000370635","false","pp","9606.ENSP00000368648 (pp) 9606.ENSP00000370635","0.065","0.0","0.0","0.092","0.0",,"0.054","0.727","0.7"
"pp","9606.ENSP00000355141 (pp) 9606.ENSP00000373477","false","pp","9606.ENSP00000355141 (pp) 9606.ENSP00000373477","0.049","0.0","0.0","0.0","0.0",,"0.0","0.77","0.768"
"pp","9606.ENSP00000368646 (pp) 9606.ENSP00000373477","false","pp","9606.ENSP00000368646 (pp) 9606.ENSP00000373477","0.075","0.0","0.0","0.113","0.0",,"0.0","0.737","0.705"
"pp","9606.ENSP00000353401 (pp) 9606.ENSP00000376902","false","pp","9606.ENSP00000353401 (pp) 9606.ENSP00000376902","0.044","0.0","0.0","0.0","0.0",,"0.0","0.741","0.741"
"pp","9606.ENSP00000357612 (pp) 9606.ENSP00000368648","false","pp","9606.ENSP00000357612 (pp) 9606.ENSP00000368648","0.066","0.0","0.0","0.068","0.0",,"0.0","0.767","0.754"
"pp","9606.ENSP00000357612 (pp) 9606.ENSP00000363394","false","pp","9606.ENSP00000357612 (pp) 9606.ENSP00000363394","0.0","0.0","0.0","0.0","0.0",,"0.0","0.732","0.732"
"pp","9606.ENSP00000354689 (pp) 9606.ENSP00000363394","false","pp","9606.ENSP00000354689 (pp) 9606.ENSP00000363394","0.0","0.0","0.0","0.0","0.0",,"0.0","0.794","0.794"
"pp","9606.ENSP00000354689 (pp) 9606.ENSP00000368648","false","pp","9606.ENSP00000354689 (pp) 9606.ENSP00000368648","0.0","0.0","0.0","0.092","0.0",,"0.054","0.77","0.754"
"pp","9606.ENSP00000349547 (pp) 9606.ENSP00000437550","false","pp","9606.ENSP00000349547 (pp) 9606.ENSP00000437550","0.0","0.0","0.0","0.292","0.0",,"0.0","0.835","0.777"
"pp","9606.ENSP00000349547 (pp) 9606.ENSP00000451828","false","pp","9606.ENSP00000349547 (pp) 9606.ENSP00000451828","0.06","0.0","0.0","0.184","0.0",,"0.0","0.72","0.665"
"pp","9606.ENSP00000348215 (pp) 9606.ENSP00000365745","false","pp","9606.ENSP00000348215 (pp) 9606.ENSP00000365745","0.0","0.0","0.0","0.292","0.0",,"0.0","0.978","0.97"
"pp","9606.ENSP00000348215 (pp) 9606.ENSP00000432660","false","pp","9606.ENSP00000348215 (pp) 9606.ENSP00000432660","0.0","0.0","0.0","0.074","0.0",,"0.0","0.832","0.826"
"pp","9606.ENSP00000348215 (pp) 9606.ENSP00000417273","false","pp","9606.ENSP00000348215 (pp) 9606.ENSP00000417273","0.042","0.0","0.0","0.0","0.0",,"0.0","0.793","0.793"
"pp","9606.ENSP00000347852 (pp) 9606.ENSP00000361423","false","pp","9606.ENSP00000347852 (pp) 9606.ENSP00000361423","0.055","0.0","0.0","0.626","0.0",,"0.0","0.838","0.578"
"pp","9606.ENSP00000347198 (pp) 9606.ENSP00000420321","false","pp","9606.ENSP00000347198 (pp) 9606.ENSP00000420321","0.042","0.0","0.9","0.178","0.0",,"0.0","0.999","0.992"
"pp","9606.ENSP00000399588 (pp) 9606.ENSP00000428924","false","pp","9606.ENSP00000399588 (pp) 9606.ENSP00000428924","0.085","0.0","0.5","0.51","0.0",,"0.0","0.853","0.422"
