input	symbol	entrez_id	name	status
NRXN1	NRXN1	9378	neurexin 1	ok
NOXO1	NOXO1	124056	NADPH oxidase organizer 1	ok
AXL	AXL	558	AXL receptor tyrosine kinase	ok
ROR2	RORA	6095	RAR related orphan receptor A	ok
ROR2	ROR2	4920	receptor tyrosine kinase like orphan receptor 2	ok
EML6	EML6	400954	EMAP like 6	ok
S100P	S100P	6286	S100 calcium binding protein P	ok
RYK	RYK	6259	receptor like tyrosine kinase	ok
S100A2	S100A2	6273	S100 calcium binding protein A2	ok
KCNT2	KCNT2	343450	potassium sodium-activated channel subfamily T member 2	ok
SH2B1	SH2B1	25970	SH2B adaptor protein 1	ok
STARD10	STARD10	10809	StAR related lipid transfer domain containing 10	ok
DBX2	DBX2	440097	developing brain homeobox 2	ok
TOR1B	TOR1B	27348	torsin family 1 member B	ok
NKX6-1	NKX6-1	4825	NK6 homeobox 1	ok
TOP2A	TOP2A	7153	DNA topoisomerase II alpha	ok
SH3KBP1	SH3KBP1	30011	SH3 domain containing kinase binding protein 1	ok
MLKL	MLKL	197259	mixed lineage kinase domain like pseudokinase	ok
DIP2A	DIP2A	23181	DIP2 acetate--CoA ligase A	ok
HOXA1	HOXA1	3198	homeobox A1	ok
RIPK4	RIPK4	54101	receptor interacting serine/threonine kinase 4	ok
ITIH2	ITIH2	3698	inter-alpha-trypsin inhibitor heavy chain 2	ok
ITIH4	ITIH4	3700	inter-alpha-trypsin inhibitor heavy chain 4	ok
JAK2	JAK2	3717	Janus kinase 2	ok
JAK1	JAK1	3716	Janus kinase 1	ok
SLC22A25	SLC22A25	387601	solute carrier family 22 member 25	ok
ARHGAP26	ARHGAP26	23092	Rho GTPase activating protein 26	ok
ARHGAP27	ARHGAP27	201176	Rho GTPase activating protein 27	ok
SKAP1	SKAP1	8631	src kinase associated phosphoprotein 1	ok
ERBB4	ERBB4	2066	erb-b2 receptor tyrosine kinase 4	ok
RXRA	RXRA	6256	retinoid X receptor alpha	ok
MATN1	MATN1	4146	matrilin 1	ok
TEK	TEK	7010	TEK receptor tyrosine kinase	ok
ALK	ALK	238	ALK receptor tyrosine kinase	ok
TIE1	TIE1	7075	tyrosine kinase with immunoglobulin like and EGF like domains 1	ok
TBCK	TBCK	93627	TBC1 domain containing kinase	ok
CYP4A22	CYP4A22	284541	cytochrome P450 family 4 subfamily A member 22	ok
CYP4B1	CYP4B1	1580	cytochrome P450 family 4 subfamily B member 1	ok
MYO1C	MYO1E	4643	myosin IE	ok
MYO1C	MYO1C	4641	myosin IC	ok
MYH3	MYH3	4621	myosin heavy chain 3	ok
MYH15	MYH15	22989	myosin heavy chain 15	ok
MYH14	MYH7B	57644	myosin heavy chain 7B	ok
MYH14	MYH14	79784	myosin heavy chain 14	ok
CTTNBP2NL	CTTNBP2NL	55917	CTTNBP2 N-terminal like	ok
MYH11	MYH11	4629	myosin heavy chain 11	ok
MYH9	MYH9	4627	myosin heavy chain 9	ok
MYO1B	MYO1B	4430	myosin IB	ok
MYO1A	MYO1A	4640	myosin IA	ok
MYO19	MYO19	80179	myosin XIX	ok
MAP3K12	MAP3K12	7786	mitogen-activated protein kinase kinase kinase 12	ok
QPRT	QPRT	23475	quinolinate phosphoribosyltransferase	ok
MADCAM1	MADCAM1	8174	mucosal vascular addressin cell adhesion molecule 1	ok
KMO	KMO	8564	kynurenine 3-monooxygenase	ok
MYO16	MYO16	23026	myosin XVI	ok
NCK1	NCK1	4690	NCK adaptor protein 1	ok
PLEKHO2	PLEKHO2	80301	pleckstrin homology domain containing O2	ok
MYO1D	MYO1D	4642	myosin ID	ok
ERG	ERG	2078	ETS transcription factor ERG	ok
HAGHL	HAGHL	84264	hydroxyacylglutathione hydrolase like	ok
MYO7A	MYO7A	4647	myosin VIIA	ok
VPREB3	VPREB3	29802	V-set pre-B cell surrogate light chain 3	ok
PLCL2	PLCL2	23228	phospholipase C like 2	ok
KCNN3	KCNN3	3782	potassium calcium-activated channel subfamily N member 3	ok
MYO5C	MYO5C	55930	myosin VC	ok
CD300LF	CD300LF	146722	CD300 molecule like family member f	ok
MYO5A	MYO5A	4644	myosin VA	ok
LHX3	LHX3	8022	LIM homeobox 3	ok
MYO6	MYO6	4646	myosin VI	ok
MET	SLTM	79811	SAFB like transcription modulator	ok
MET	RNMT	8731	RNA guanine-7 methyltransferase	ok
MET	MET	4233	MET proto-oncogene, receptor tyrosine kinase	ok
TEX14	TEX14	56155	testis expressed 14, intercellular bridge forming factor	ok
PTK2B	PTK2B	2185	protein tyrosine kinase 2 beta	ok
MERTK	MERTK	10461	MER proto-oncogene, tyrosine kinase	ok
CD83	CD83	9308	CD83 molecule	ok
HAGH	HAGH	3029	hydroxyacylglutathione hydrolase	ok
MYO5B	MYO5B	4645	myosin VB	ok
NTRK2	NTRK2	4915	neurotrophic receptor tyrosine kinase 2	ok
GSTM2	GSTM2	2946	glutathione S-transferase mu 2	ok
BHMT2	BHMT2	23743	betaine--homocysteine S-methyltransferase 2	ok
PSEN2	PSEN2	5664	presenilin 2	ok
JMJD8	JMJD8	339123	jumonji domain containing 8	ok
MDP1	POLG	5428	DNA polymerase gamma, catalytic subunit	ok
MDP1	MDP1	145553	magnesium dependent phosphatase 1	ok
CACHD1	CACHD1	57685	cache domain containing 1	ok
BCL2L1	BCL2L1	598	BCL2 like 1	ok
SLC24A3	SLC24A3	57419	solute carrier family 24 member 3	ok
IL1RL2	IL1RL2	8808	interleukin 1 receptor like 2	ok
