compound_id,smiles,addiction_status,compound_name,parent_smiles,inchikey,butina_cluster_id,butina_cluster_type,bbb_MW,bbb_TPSA,bbb_HBD,bbb_HBA,bbb_RotB,bbb_clogP,bbb_rings,bbb_fr_ArRings,bbb_heuristic_score,bbb_permeable_heuristic,bbb_permeable_egg
NEW00772,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0,CELECOXIB,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N,2073,non-addictive_only,381.3790000000001,77.98,1,4,3,3.5139200000000006,3,3,5,1,1
NEW00771,CC(C)NCC(O)c1ccc2ccccc2c1,0,PRONETALOL,CC(C)NCC(O)c1ccc2ccccc2c1,HRSANNODOVBCST-UHFFFAOYSA-N,2074,non-addictive_only,229.323,32.26,2,2,4,2.871200000000001,2,2,5,1,1
NEW00770,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0,TRIAMTERENE,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,FNYLWPVRPXGIIP-UHFFFAOYSA-N,2075,non-addictive_only,253.26900000000003,129.62,3,7,1,0.8334000000000001,3,3,3,1,0
NEW00765,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,0,GREPAFLOXACIN,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,AIJTTZAVMXIJGM-UHFFFAOYSA-N,2080,non-addictive_only,359.4010000000001,74.57,2,5,3,2.28022,4,2,5,1,1
NEW00764,CC(C)O,0,ISOPROPYL ALCOHOL,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,2081,non-addictive_only,60.096000000000004,20.23,1,1,0,0.38710000000000006,0,0,5,1,1
NEW00763,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,0,BIFONAZOLE,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,OCAPBUJLXMYKEJ-UHFFFAOYSA-N,2082,non-addictive_only,310.40000000000003,17.82,0,2,4,5.187800000000005,4,4,4,1,0
NEW00762,ClC=C(Cl)Cl,0,TRICHLOROETHYLENE,ClC=C(Cl)Cl,XSTXAVWGXDQKEL-UHFFFAOYSA-N,2083,non-addictive_only,131.389,0.0,0,0,0,2.5017000000000005,0,0,5,1,1
NEW00758,CCOC(=O)c1ccc(N)cc1,0,BENZOCAINE,CCOC(=O)c1ccc(N)cc1,BLFLLBZGZJTVJG-UHFFFAOYSA-N,2084,non-addictive_only,165.19199999999998,52.32,1,3,2,1.4455,1,1,5,1,1
NEW00757,CC(Cl)(Cl)Cl,0,TRICHLOROETHANE,CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,2085,non-addictive_only,133.405,0.0,0,0,0,2.376500000000001,0,0,5,1,1
NEW00755,O=C(O)c1cccnc1,0,NIACIN,O=C(O)c1cccnc1,PVNIIMVLHYAWGP-UHFFFAOYSA-N,2086,non-addictive_only,123.11099999999998,50.19,1,2,1,0.7797999999999999,1,1,5,1,1
