source,target,weight,interaction,addiction_status,compound_name
PTGER1,PTGES,0.714,PPI,NA,NA
PTGER1,ADRB2,0.704,PPI,NA,NA
S100A1,S100P,0.858,PPI,NA,NA
S100A1,TLR4,0.836,PPI,NA,NA
S100A1,S100A2,0.812,PPI,NA,NA
S100A1,S100A4,0.807,PPI,NA,NA
S100A1,CALML3,0.712,PPI,NA,NA
PKN2,AKT1,0.816,PPI,NA,NA
PKN2,RPS6KA1,0.761,PPI,NA,NA
PKN2,NCK1,0.748,PPI,NA,NA
PSKH1,DCX,0.85,PPI,NA,NA
PSKH1,SLC12A4,0.83,PPI,NA,NA
NEXN,CTTN,0.834,PPI,NA,NA
RALGDS,MAPK8,0.915,PPI,NA,NA
RALGDS,MAPK9,0.903,PPI,NA,NA
CACNB3,CACNA2D1,0.995,PPI,NA,NA
CACNB3,CACNA1S,0.963,PPI,NA,NA
CACNB3,CACNB2,0.961,PPI,NA,NA
CACNB3,CACNA2D2,0.869,PPI,NA,NA
CACNB3,GUK1,0.836,PPI,NA,NA
CACNB3,STAC3,0.74,PPI,NA,NA
CACHD1,CACNA1S,0.761,PPI,NA,NA
CACHD1,CACNA1A,0.757,PPI,NA,NA
CACHD1,CACNB3,0.7,PPI,NA,NA
ARHGAP17,TRIP10,0.952,PPI,NA,NA
ARHGAP17,SH3KBP1,0.828,PPI,NA,NA
MYO1A,ACTG1,0.926,PPI,NA,NA
MYO1A,MYO1C,0.909,PPI,NA,NA
MYO1A,ACTB,0.733,PPI,NA,NA
ATG16L2,ULK2,0.785,PPI,NA,NA
WIPI2,ULK1,0.944,PPI,NA,NA
WIPI2,ULK2,0.928,PPI,NA,NA
WIPI2,PIK3R4,0.892,PPI,NA,NA
ERC2,CALML3,0.889,PPI,NA,NA
PDE4D,PRKACB,0.919,PPI,NA,NA
PDE4B,PRKACB,0.846,PPI,NA,NA
PDE4B,PDE4D,0.757,PPI,NA,NA
SLC2A5,CA6,0.866,PPI,NA,NA
RBFA,METTL15,0.957,PPI,NA,NA
RBFA,TFB1M,0.919,PPI,NA,NA
RBFA,MRPS16,0.843,PPI,NA,NA
RAB25,CHML,0.742,PPI,NA,NA
TMEM86B,PLA2G6,0.727,PPI,NA,NA
GDPD1,TMEM86B,0.905,PPI,NA,NA
GDPD1,PLA2G4A,0.78,PPI,NA,NA
GDPD1,PLA2G4C,0.719,PPI,NA,NA
GDPD1,LPAR6,0.704,PPI,NA,NA
GDPD1,PLA2G6,0.701,PPI,NA,NA
AGPAT2,DGKA,0.758,PPI,NA,NA
AGPAT2,DGKB,0.727,PPI,NA,NA
AGPAT2,PBX3,0.711,PPI,NA,NA
DGKE,AGPAT2,0.729,PPI,NA,NA
HOMER1,SHANK2,0.937,PPI,NA,NA
