source,target,weight,interaction,addiction_status,compound_name
CARD11,BTK,0.798,PPI,,
CARD11,AKT1,0.718,PPI,,
PKN3,PDPK1,0.922,PPI,,
PKN3,PKN1,0.911,PPI,,
PKN3,PKN2,0.906,PPI,,
ARHGAP26,PKN3,0.937,PPI,,
FZD6,RYK,0.959,PPI,,
FZD6,ROR2,0.792,PPI,,
FZD6,PTK7,0.756,PPI,,
MYH15,MYL12B,0.795,PPI,,
MYH15,MYL12A,0.773,PPI,,
MYH15,MYL9,0.76,PPI,,
MYH15,MYL6,0.734,PPI,,
MYH15,MYL3,0.724,PPI,,
HES6,MSC,0.817,PPI,,
ACKR3,EGFR,0.768,PPI,,
HOXB2,PBX1,0.854,PPI,,
HOXB2,HOXB1,0.75,PPI,,
HOXB1,PBX1,0.999,PPI,,
HOXB1,HOXA1,0.934,PPI,,
PBX3,HOXC9,0.766,PPI,,
PBX3,TSHZ1,0.714,PPI,,
CTSK,BCL2L1,0.917,PPI,,
CTSK,CTSL,0.908,PPI,,
CTSK,CALCR,0.822,PPI,,
CTSK,TLR4,0.82,PPI,,
CTSK,CA2,0.791,PPI,,
SMC4,CDK1,0.906,PPI,,
SMC4,TOP2A,0.903,PPI,,
SMC4,POU3F3,0.811,PPI,,
PLK4,PLK1,0.956,PPI,,
PLK4,CDK1,0.946,PPI,,
PLK4,TOP2A,0.904,PPI,,
PLK4,CEP63,0.902,PPI,,
PLK4,NEDD1,0.891,PPI,,
PLK4,TTK,0.88,PPI,,
PLK4,BTRC,0.869,PPI,,
PLK4,CNTLN,0.854,PPI,,
PLK4,RACGAP1,0.793,PPI,,
PLK4,SMC4,0.762,PPI,,
PLK4,AURKB,0.726,PPI,,
NR4A2,TH,0.837,PPI,,
NR4A2,SLC18A2,0.802,PPI,,
NR4A2,NR4A1,0.782,PPI,,
NR4A2,RXRB,0.704,PPI,,
SLC6A3,TH,0.95,PPI,,
SLC6A3,NR4A2,0.788,PPI,,
SLC6A3,LRTOMT,0.781,PPI,,
SLC6A3,ANKK1,0.702,PPI,,
SCYL1,TMED3,0.723,PPI,,
CYP4F22,ALOXE3,0.868,PPI,,
CYP4F22,ALOX12B,0.843,PPI,,
IGFBP4,PAPPA2,0.827,PPI,,
BCAR1,NCK1,0.961,PPI,,
BCAR1,PTK6,0.943,PPI,,
BCAR1,LYN,0.887,PPI,,
BCAR1,AKT1,0.828,PPI,,
PTK6,STAP2,0.996,PPI,,
PTK6,ARHGAP35,0.941,PPI,,
PTK6,AKT1,0.927,PPI,,
AR,NKX3-1,0.95,PPI,,
AR,AKT1,0.895,PPI,,
AR,ERG,0.893,PPI,,
AR,TNK2,0.823,PPI,,
AR,IGF1R,0.808,PPI,,
AR,CYP19A1,0.787,PPI,,
BRAF,AKT1,0.783,PPI,,
KSR1,MARK3,0.976,PPI,,
KSR1,BRAF,0.939,PPI,,
KSR1,KSR2,0.93,PPI,,
ARHGAP1,TRIP10,0.876,PPI,,
RHCG,CD47,0.787,PPI,,
STAR,TSPO,0.993,PPI,,
STAR,NR5A1,0.962,PPI,,
STAR,CYP19A1,0.878,PPI,,
STAR,CYP11B1,0.868,PPI,,
STAR,PRKACB,0.863,PPI,,
STAR,PRKACA,0.863,PPI,,
STAR,ACBD3,0.796,PPI,,
STAR,PCTP,0.791,PPI,,
STAR,POMC,0.77,PPI,,
STAR,LHCGR,0.77,PPI,,
STAR,SCP2,0.767,PPI,,
STAR,FSHR,0.74,PPI,,
STAR,SIGMAR1,0.72,PPI,,
STAR,INSL3,0.709,PPI,,
CYP11A1,STAR,0.979,PPI,,
CYP11A1,CYP7B1,0.948,PPI,,
CYP11A1,NR5A1,0.913,PPI,,
CYP11A1,LHCGR,0.865,PPI,,
CYP11A1,POMC,0.835,PPI,,
CYP11A1,FSHR,0.822,PPI,,
CYP11A1,TSPO,0.786,PPI,,
CYP11A1,SRD5A1,0.785,PPI,,
CYP11A1,INSL3,0.774,PPI,,
TRIP11,ARF1,0.959,PPI,,
JDP2,ARL4C,0.908,PPI,,
JDP2,PGR,0.755,PPI,,
RSPO3,LGR4,0.999,PPI,,
RSPO3,FURIN,0.739,PPI,,
DCLK1,DCX,0.886,PPI,,
LGR5,RSPO3,0.987,PPI,,
LGR5,LGR4,0.95,PPI,,
LGR5,PROM1,0.831,PPI,,
LGR5,BMI1,0.759,PPI,,
LGR5,DCLK1,0.718,PPI,,
LGR5,EGFR,0.717,PPI,,
FZD4,RYK,0.975,PPI,,
DRAP1,POLE3,0.724,PPI,,
BTAF1,DRAP1,0.956,PPI,,
SNX9,PIK3R1,0.759,PPI,,
SNX9,NECAP1,0.703,PPI,,
ACAA2,HMGCS2,0.996,PPI,,
ACAA2,HMGCS1,0.995,PPI,,
ACAA2,ACAT2,0.922,PPI,,
ACAA2,ETFDH,0.81,PPI,,
ACAA2,SCP2,0.742,PPI,,
ACAA2,HIBCH,0.73,PPI,,
ACAT1,HMGCS2,0.997,PPI,,
ACAT1,HMGCS1,0.997,PPI,,
ACAT1,ACAA2,0.963,PPI,,
ACAT1,ACAT2,0.95,PPI,,
ACAT1,HIBCH,0.751,PPI,,
ACAT1,SCP2,0.724,PPI,,
RHCE,CD47,0.932,PPI,,
RHCE,RHD,0.839,PPI,,
ANK1,RHCE,0.927,PPI,,
ANK1,CALML3,0.866,PPI,,
ANK1,ERBB2,0.821,PPI,,
ANK1,TRPC1,0.768,PPI,,
ANK1,ILK,0.738,PPI,,
ANK1,TRPC6,0.717,PPI,,
NPTX2,AVP,0.833,PPI,,
CLCN2,GABRG2,0.892,PPI,,
CLCN2,GABRA1,0.876,PPI,,
CLCN2,KCNMB3,0.796,PPI,,
CLCN2,GABRD,0.776,PPI,,
CLCN2,SCN1B,0.709,PPI,,
NRXN1,GPHN,0.831,PPI,,
NRXN1,SDCBP,0.819,PPI,,
SHANK2,CTTN,0.969,PPI,,
SHANK2,NRXN1,0.914,PPI,,
SHANK2,HOMER3,0.799,PPI,,
SHBG,CYP19A1,0.769,PPI,,
SHBG,NRXN1,0.742,PPI,,
GRM5,HOMER1,0.999,PPI,,
GRM5,HOMER3,0.929,PPI,,
GRM5,SHANK2,0.869,PPI,,
GRM5,GRIN2A,0.841,PPI,,
GRM5,DPP6,0.787,PPI,,
GRM5,NRXN1,0.766,PPI,,
GRM5,OPRM1,0.703,PPI,,
NRXN2,NRXN1,0.922,PPI,,
NRXN2,SHANK2,0.88,PPI,,
NRXN2,GPHN,0.831,PPI,,
NRXN2,SDCBP,0.826,PPI,,
NRXN2,GRM5,0.713,PPI,,
ITIH2,ITIH3,0.787,PPI,,
THOC6,POLDIP3,0.719,PPI,,
THOC3,POLDIP3,0.786,PPI,,
PLEKHM1,ARL8B,0.958,PPI,,
RAB5B,RAB5C,0.966,PPI,,
NAPEPLD,GPR55,0.801,PPI,,
NAPEPLD,TRPV1,0.771,PPI,,
